Classification,Rndrng Prvdr Zip5,Tot Mdcr Pymt Amt
urban,85234,26452960
urban,91790,2283417
urban,75701,97234369
urban,75701,75860390
urban,75701,15069281
urban,33196,16709382
urban,78224,12636931
urban,90605,8794855
rural,95932,6090346
urban,46383,39837952
urban,38401,35842929
urban,76240,6182506
urban,53066,13312614
urban,53066,8658941
urban,55337,26050251
urban,95616,12202495
urban,51101,31833199
rural,84066,4952691
urban,94520,92941862
rural,22630,9358303
rural,71953,2137234
urban,06320,40700377
urban,01742,22015402
urban,66606,28087547
urban,08210,24856668
urban,92225,988728
urban,87301,7265883
urban,87301,10028516
urban,94116,6966110
urban,45014,32022485
urban,78041,15154562
rural,87544,3635075
urban,43230,318258
urban,68506,131416781
urban,68506,1026023
urban,29379,1860831
urban,90404,80483055
urban,90404,116489577
urban,37650,832525
urban,94574,40707852
urban,83854,8890204
urban,34667,53669025
urban,08820,72410140
urban,74037,7567030
urban,97401,2708449
urban,33040,11467803
urban,98837,11890953
urban,98055,49550543
urban,33410,40904760
urban,93534,45113674
urban,36201,3220682
urban,83001,13280410
urban,48843,13061974
urban,68123,13840676
urban,35235,30802607
urban,75034,2687751
urban,91307,48383033
urban,11714,27995365
urban,66044,21623785
urban,37620,38410424
urban,65265,2668354
urban,26330,40910311
rural,67801,5730164
urban,74104,99669409
urban,74104,76632098
urban,02360,60651749
urban,48075,104237557
urban,48075,1861199
urban,93654,2398985
urban,76712,48034385
urban,76712,32336880
urban,92123,88716093
urban,77327,903087
urban,31768,14716795
urban,19320,11275932
urban,32765,9142480
urban,44011,18782283
rural,93436,14924628
urban,52632,1827540
urban,07102,24686895
urban,46952,12158841
urban,60506,19253450
urban,32605,112746925
rural,16201,4581684
urban,48033,1248871
urban,32960,60813013
urban,64429,6555513
urban,95501,48859170
rural,32348,1289292
urban,46037,3160887
urban,90033,159799114
urban,90033,95249325
urban,90033,33630125
urban,23320,53203647
urban,17961,9910017
rural,37166,1311595
urban,36067,6065082
urban,44129,24411214
urban,38301,110837691
urban,25702,60977051
urban,45365,5858109
urban,59101,82145789
urban,59101,49738300
rural,70586,5462199
rural,85122,18772395
urban,65340,4260037
urban,96793,38229539
rural,51401,5275360
urban,37211,11210322
urban,60649,5822367
urban,65401,28488577
rural,97381,2749329
urban,24211,17838198
urban,92373,17473173
rural,35594,3166730
urban,19805,12638609
urban,14760,16261768
urban,66213,18747699
urban,40504,50834150
urban,12401,29018037
urban,07902,80129027
urban,78503,23061060
urban,46060,11233410
urban,80907,80525160
urban,31419,32731098
urban,44130,35968852
urban,63368,7125241
urban,01301,14105141
urban,80012,42968267
urban,08084,110124548
urban,63301,21160798
urban,48118,8866027
urban,07631,83059714
urban,06706,33384248
urban,32578,8792176
urban,29526,25339612
urban,75203,46318923
urban,60613,7685872
rural,72455,2812349
rural,42064,1205613
rural,60970,2954205
urban,15136,2706961
urban,78550,37050364
urban,78550,12965725
urban,29505,30793321
urban,98221,11442872
urban,97330,36697044
urban,77598,69264874
urban,77598,3743116
rural,81101,7099833
urban,44870,21144325
urban,33614,15405323
urban,75501,18974923
urban,87109,6101805
urban,60617,5485860
urban,60617,43561731
urban,07047,27453312
urban,28655,15858928
urban,95825,17239095
urban,49660,5863864
urban,70360,21143628
urban,70360,1347973
urban,74006,18658221
urban,95204,92653783
urban,35211,27003806
urban,35058,23657818
urban,47150,46243533
urban,47150,1053366
urban,36330,7701253
