Total Margin (bin),Hospital,Total Margin
0.05,Marshall Medical Centers South Campus,0.082
0.05,Mizell Memorial Hospital,0.06
-0.20,Crenshaw Community Hospital,-0.152
0.00,DeKalb Regional Medical Center,0.007
0.05,Dale Medical Center,0.095
0.00,Floyd Cherokee Medical Center,0.026
-0.15,Community Hospital Inc,-0.107
0.05,Cullman Regional Medical Center,0.057
-0.05,Andalusia Health,-0.019
-0.10,Marion Regional Medical Center,-0.08
-0.05,Fayette Medical Center,-0.02
-0.10,Georgiana Medical Center,-0.088
0.10,Medical Center Enterprise,0.111
0.10,Greene County Hospital,0.103
-0.10,Lake Martin Community Hospital,-0.057
0.15,Bibb Medical Center,0.162
-0.10,Lawrence Medical Center,-0.052
0.00,Highlands Medical Center,0.011
-0.05,Russell Medical Center,-0.019
-0.25,Florala Memorial Hospital,-0.242
-0.05,Medical Center Barbour,-0.028
-0.05,Clay County Hospital,-0.002
0.05,Athens Limestone Hospital,0.054
0.70,South Baldwin Regional Medical Center,0.707
0.00,Northwest Medical Center,0.034
0.15,Walker Baptist Medical Center,0.184
0.00,Grove Hill Memorial Hospital,0.011
0.00,Hale County Hospital,0.028
0.00,D W McMillan Memorial Hospital,0.005
0.00,Citizens Baptist Medical Center,0.035
0.10,J Paul Jones Hospital,0.134
-0.05,Bullock County Hospital,-0.041
0.00,Whitfield Regional Hospital,0.049
0.05,Vaughan Regional Medical Center Parkway Campus,0.076
0.00,Monroe County Hospital,0.03
-0.15,Lakeland Community Hospital,-0.131
0.05,Troy Regional Medical Center,0.068
-0.05,Jackson Medical Center,-0.02
-0.25,North Baldwin Infirmary,-0.243
0.10,St Vincent's St Clair,0.117
-0.05,Hill Hospital of Sumter County,-0.039
0.05,Evergreen Medical Center,0.062
0.10,Regional Medical Center of Central Alabama,0.126
0.00,Russellville Hospital,0.003
0.05,Coosa Valley Medical Center,0.086
0.00,Atmore Community Hospital,0.009
0.00,St Vincent's Chilton,0.035
-0.45,Thomasville Regional Medical Center,-0.412
0.10,Washington County Hospital,0.124
0.05,Red Bay Hospital,0.078
0.00,Ochsner Choctaw General,0.022
-0.05,St Vincents Blount,-0.022
-0.15,Tanner Medical Center-East Alabama,-0.122
0.35,Mat-Su Regional Medical Center,0.378
0.00,Bartlett Regional Hospital,0.019
0.05,Central Peninsula General Hospital,0.064
0.10,Providence Valdez Medical Center,0.146
0.25,Providence Seward Medical Center,0.269
-0.10,Sitka Community Hospital,-0.067
-0.05,Petersburg Medical Center,-0.009
0.10,SEARHC Wrangell Medical Center-CAH,0.101
0.05,Providence Kodiak Island Medical Ctr,0.09
0.05,Cordova Community Medical Center,0.09
0.10,Norton Sound Regional Hospital,0.111
-0.05,Ketchikan Medical Center,-0.048
0.15,Samuel Simmonds Memorial Hospital,0.17
0.10,South Peninsula Hospital,0.109
0.25,Verde Valley Medical Center,0.26
0.05,Kingman Regional Medical Center,0.051
0.00,Summit Healthcare Regional Medical Center,0.021
1.05,Western Arizona Regional Medical Center,1.086
0.00,Valley View Medical Center,0.036
-0.05,Wickenburg Community Hospital,-0.04
0.15,Benson Hospital,0.164
0.05,"Northern Cochise Community Hospital, Inc.",0.093
-0.20,Cochise Regional Hospital,-0.165
0.15,Page Hospital,0.177
-0.05,Sage Memorial Hospital,-0.031
0.10,Little Colorado Medical Center,0.12
0.15,Copper Queen Community Hospital,0.182
0.30,Holy Cross Hospital,0.315
0.10,Cobre Valley Regional Medical Center,0.107
0.10,White Mountain Regional Medical Center,0.101
0.00,La Paz Regional Hospital,0.014
0.10,Banner Payson Medical Center,0.113
-0.05,Mt. Graham Regional Medical Center,-0.003
0.15,Siloam Springs Regional Hospital,0.197
0.00,Johnson Regional Medical Center,0.046
0.15,Chambers Memorial Hospital,0.162
0.10,Unity Health White County Medical Center,0.145
0.00,Mena Regional Health System,0.041
-0.05,North Arkansas Regional Medical Center,-0.038
0.05,Forrest City Medical Center,0.089
0.00,Baxter Health,0.035
0.00,Arkansas Methodist Medical Center,0.013
0.10,St Marys Regional Medical Center,0.137
0.00,Ouachita County Medical Center,0.045
0.00,Drew Memorial Health System,0.01
0.05,Magnolia Regional Medical Center,0.077
0.05,Great River Medical Center,0.069
0.05,Baptist Health Medical Center-Stuttgart,0.082
0.15,Baptist Health Medical Center-Hot Springs County,0.189
-0.25,Helena Regional Medical Center,-0.211
0.05,South Arkansas Regional Hospital LLC,0.068
0.00,White River Medical Center,0.032
-0.15,Wadley Regional Medical Center at Hope,-0.136
0.00,St Bernards Five Rivers Medical Center,0.029
0.05,Mercy Hospital Paris,0.056
-0.20,Dardanelle Regional Medical Center,-0.155
0.05,Mercy Hospital Ozark,0.075
-0.20,Eureka Springs Hospital Commission,-0.168
0.00,Mercy Hospital Waldron,0.008
-0.35,Izard Regional Hospital LLC,-0.307
0.10,Crossridge Community Hospital,0.133
0.00,McGehee Hospital,0.023
0.00,Lawrence Memorial Hospital,0.034
0.05,Stone County Medical Center,0.076
0.05,Howard Memorial Hospital,0.073
-0.05,Baptist Health Medical Center Heber Spings,-0.009
0.00,Ozark Health,0.022
0.05,"Dewitt Hospital & Nursing Home, Inc",0.056
0.00,South Missississpi County Regional Medical Center,0.017
0.05,Dallas County Medical Center,0.082
-0.05,Mercy Hospital Booneville,-0.041
0.05,Little River Memorial Hospital,0.07
0.00,Baptist Health Medical Center-Arkadelphia,0.044
0.00,Fulton County Hospital,0.016
0.00,Ashley County Medical Center,0.018
0.00,CHI St Vincent Morrilton,0.026
0.05,Delta Memorial Hospital,0.081
0.00,Bradley County Medical Center,0.036
-0.05,Chicot Memorial Medical Center,-0.011
0.00,Mercy Hospital Berryville,0.046
0.00,Piggott Community Hospital,0.03
0.00,Ozarks Community Hospital of Gravette,0.023
-0.05,Providence St Joseph Hospital,-0.048
-0.10,Adventist Health St Helena,-0.068
0.05,Sutter Amador Hospital,0.068
0.00,Mad River Community Hospital,0.045
0.00,Oroville Hospital,0.025
0.15,St Elizabeth Community Hospital,0.195
0.05,Sonoma Valley Hospital,0.054
0.10,Sierra Nevada Memorial Hospital,0.128
0.20,Adventist Health Reedley,0.208
0.00,Adventist Health Feather River,0.033
0.05,Marshall Medical Center,0.068
0.00,Hi-Desert Medical Center,0.029
0.15,Barstow Community Hospital,0.178
0.05,Adventist Health Ukiah Valley,0.084
0.10,Adventist Health Sonora,0.121
-0.05,Pioneers Memorial Healthcare District,-0.02
-0.70,Corcoran District Hospital,-0.683
0.10,Barton Memorial Hospital,0.11
0.05,Sutter Coast Hospital,0.053
0.00,Palo Verde Hospital,0.018
0.00,Sutter Auburn Faith Hospital,0.044
0.15,Memorial Hospital Los Banos,0.199
-0.20,Colusa Medical Center,-0.181
0.20,Eastern Plumas Hospital - Portola Campus,0.231
-0.05,Adventist Health Tehachapi Valley,-0.015
-0.05,Southern Inyo Hospital,-0.021
