Total Margin,Payment Method,Rural?
-0.082,CAH,Urban
-0.047,CAH,Urban
-0.173,CAH,Urban
0.095,CAH,Urban
0.002,CAH,Urban
0.017,CAH,Urban
-0.001,CAH,Urban
0.041,CAH,Urban
-0.056,CAH,Urban
0.236,CAH,Urban
0.106,CAH,Urban
0.457,CAH,Urban
0.171,CAH,Urban
0.132,CAH,Urban
0.61,CAH,Urban
0.092,CAH,Urban
0.106,CAH,Urban
0.102,CAH,Urban
0.08,CAH,Urban
0.2,CAH,Urban
0.045,CAH,Urban
0.029,CAH,Urban
0.616,CAH,Urban
-0.182,CAH,Urban
0.005,CAH,Urban
0.032,CAH,Urban
0.133,CAH,Urban
0.049,CAH,Urban
0,CAH,Urban
0.03,CAH,Urban
0.07,CAH,Urban
0.114,CAH,Urban
-0.034,CAH,Urban
0.015,CAH,Urban
0.069,CAH,Urban
0.121,CAH,Urban
0.198,CAH,Urban
-0.088,CAH,Urban
0.369,CAH,Urban
0.045,CAH,Urban
0.143,CAH,Urban
0.235,CAH,Urban
0.153,CAH,Urban
0.092,CAH,Urban
-0.036,CAH,Urban
0.055,CAH,Urban
0.191,CAH,Urban
0.098,CAH,Urban
0.169,CAH,Urban
0.09,CAH,Urban
-0.01,CAH,Urban
0.164,CAH,Urban
0.139,CAH,Urban
